tipo,unidad,clase,descripcion,modelo,proveedor1,moneda1,fecha1,proveedor2,precio2,fecha2,proveedor3,precio3,fecha3,precio1,marca,moneda2,moneda3
GABINETES Y COMPONENTES,Pza,equipos y componentes,Medidor Digital M1M 15 MODBUS RTU,2TAZ661012R2000,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,08/03/2025,,0,,,0,,6.3,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo de Bloques de 36 Posiciones NemA tipo Screw Clamp Contrologix Allen Bradley,1756-TBCH,RISOUL,USD,06/02/2026,,0,,,0,,108,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete met�lico, 1200X800X300mm, IP40, con puerta y platina, tipo SR2",SRN12830K,,,,,0,,,0,,0,ABB,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Recto Licuatite De 3/4'' No Met�lico P/Tubo Flexible Licuatite, LT75NM",11685046,ACOMEE,MXN,11/08/2025,,0,,,0,,56,Crouse Hinds,,
ACCESORIOS Y CONSUMIBLES,mts,material,"Tubo aislante Termocontractil (Thermofit) de 1/2""",TG-ThFIT-1/2,,,,,0,,,0,,0,Sin especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Centro De Carga QO Iterruptor Principal De 150amp, 3F. 4H 42 SP Nema 1",QO342MQ150,BRICOS (MAYOREO ELECTRICO),MXN,30/07/2025,abasteo,0,17/07/2025,,0,,21.78,SquareD,MXN,
SISTEMA NEUMATICO,Pza,instrumento,Valvula Selectora VHEF,VHEF-ET-M32-M-G18,RISOUL,MXN,26/11/2024,,0,,,0,,1.96,FESTO,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Relevador de sobrecarga trifasico, 440VCA,40HP,44-53A",1SAZ811201R1005,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/01/2026,,0,,,0,,1.265,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagnetico Marco NG, 3P, 800Amp, Protecciones LS, 50KA- 480VCA",NGS308033E,RISOUL,MXN,09/05/2025,,0,,,0,,78.63,Eaton,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Centro De Carga QOD De 100A, 3 Fases, 3 Polos, NEMA1, Para Sobreponer",QOD3S,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,0,,,0,,506,SquareD,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Bastidor De Montaje 12"" Unified Panels",6AV6881-0MD33-0DA0,USIICSA,MXN,03/03/2025,,0,,,0,,1.7,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Placa intermedia 2000 superficie de montaje plana,MPF2000,RISOUL,USD,06/02/2026,,0,,,0,,96,Hoffman,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo T De Aluminio Libre de Cobre de 1/2"", CL-I, Div2 forma 85 Con Recubrimiento de PVC e interior de uretano amarillo",RYC-T50A,RISOUL,MXN,29/12/2025,,0,,,0,,545,Repsa,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador Powerflex 523 AC Drive, 480 VAC, 3 Fases, 20HP, 30A,15KW Normal Duty; 15HP, 11KW, Nema IP20, Con Filtro",25A-D030N114,RISOUL,USD,05/02/2025,,0,,,0,,2.167,Allen Bradley,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C Serie 9 Con Tapa de 1"", C39",601019,BRICOS (MAYOREO ELECTRICO),MXN,21/02/2025,,0,,,0,,330,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Centro De Carga QO Con Zapatas Principales, 12 Polos, 125A, 3 Fases, 4 Hilos, NEMA1, (SIN FRENTE)",QO312L125G,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,0,,,0,,3.74,SquareD,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal boton selector no iluminado, fijas, 3 posiciones, color negro, 22mm",1SFA611210R1006,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,13/06/2025,ACOMEE,0,06/02/2025,,0,,170,ABB,MXN,
ACCESORIOS Y CONSUMIBLES,Pza,material,Cincho Chico de 2.5X99mm(3.3�) de Nylon Color Natural,PLT1M-M_1,BRICOS (MAYOREO ELECTRICO),MXN,04/02/2026,SYSCOM,0,04/02/2026,,0,,0,Panduit,MXN,
GABINETES Y COMPONENTES,Kit,equipos y componentes,Kit de Instalacion de Interruptor Principal P/Marco J P/Tablero NF,N250MJ,BRICOS (MAYOREO ELECTRICO),MXN,25/09/2024,ACOMEE,0,25/09/2024,ALCIONE,0,25/09/2024,3.124,SquareD,MXN,MXN
PERFILES DE FIERRO,Pza,material,"Angulo de Fierro de 3/16"" x 2"" x 2"", Tramos de 6 mts De Largo.",TG-AF-2X3/16-6m,ACEROS CHULAVISTA,MXN,20/03/2026,,0,,,0,,1.05,Sin especificar,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo de 8 Entradas Anal�gicas C&V Para Contrologix Allen Bradley,1756-IF8,RISOUL,MXN,05/09/2024,,0,,,0,,1.156,Allen Bradley,,
CABLE PARA SISTEMA DE TIERRAS,mts,material,Cable monopolar desnudo AWG 4,DESNUDOSEM4,TRC,USD,29/08/2023,,0,,,0,,3,General Cable,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagn�tico Tipo QO Enchufable 3X20A, 240VCA, 10KA",QO320,BRICOS (MAYOREO ELECTRICO),MXN,25/09/2024,ACOMEE,0,25/09/2024,HOME DEPOT,0,25/09/2024,1.798,SquareD,MXN,MXN
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cartucho de Fusible SITOR, con Contactos de cuchilla Ranurados, NH0, Entrada: 100 A, GG, UN AC:500V, UN DC:250V, Indicador de fusi�n superior",3NA3830,wesco,MXN,11/08/2025,,0,,,0,,315,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Medidor Digital Para Panel Multiple,MT4W-DA-4N,ACOMEE,MXN,07/11/2024,NHS Controls,0,07/11/2024,,0,,2.65,AUTONICS,USD,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Chasis de 10 Ranuras Para Contrologix,1756-A10,RISOUL,USD,30/11/2024,,0,,,0,,662,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini Interruptor Termomagnetico IC60N CurvaC 2PX2A,A9F74202,IMPULSORA,MXN,14/05/2025,ACOMEE,0,06/03/2025,,0,,528,Schneider,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo de 8 Entradas Digitales de 24 V ET200SP,6ES7131-6BF01-0BA0,WESCO,MXN,13/06/2024,,0,,,0,,1.45,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Barra De Bus Trifasica Para 3 GM @65A PS1-3-0-65,1SAM201906R1103,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,29/01/2026,ACOMEE,0,05/02/2025,,0,,350,ABB,MXN,
GABINETES Y COMPONENTES,Paquete,equipos y componentes,"Conector Industrial RJ45 (10/100 Mbits/s), metalico, robusto y con sistema de conexi�n FC para IE, Cable 2x2; salida de cable a 180� (pk de 10 pza)",6GK1901-1BB10-2AB0,AUTYCOM,MXN,17/10/2025,,0,,,0,,5.35,SIEMENS,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,"Conector Mecanico Tipo ""T""",C304,RISOUL,USD,14/03/2025,,0,,,0,,9,anpasa,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Bateria UPS de 12V, 142Ah. NOTA: Este modelo sustituye a las UPS 12-490MR",UPS12-495PLP,BATTERY POWER SUPPLY,USD,19/12/2024,,0,19/12/2024,,0,,270,Dynasty,USD,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Bolsa,material,"Cincho STRONGHOLD, 12""x.2""(302mmX 4.8mm) Nylon 6,6 Color Negro, bolsa C/100pza",S12-50-C0,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,,0,,,0,,0,Panduit,,
ACCESORIOS Y CONSUMIBLES,Paquete,material,"Terminal Ojillo Aislada Cal. 10 - 12 AWG Torn 3-8"" (100pza)",AE34173,ACOMEE,MXN,17/01/2026,,0,,,0,,350,Argos,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Pza,material,"Clavija Media Vuelta 3P, 4H, 30A, 250V, Trifasico, NEMA L15-30P,Conexi�n A Tierra, con Seguro (Grado Industrial)",161-02721-000,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,ALCIONE,0,08/07/2025,,0,,660,Leviton,MXN,
ACCESORIOS Y CONSUMIBLES,Pza,material,Cable De Uso Rudo 4C-10AWG De 20.11 mts Para S18,GR057415,RISOUL,USD,07/02/2025,,0,,,0,,1.535,Gleason Reel,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LR Serie 9 Con Tapa de 1"", LR39",605021,BRICOS (MAYOREO ELECTRICO),MXN,21/02/2025,,0,,,0,,330,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Contratuerca de 3'' De Acero Galvanizado, 18X",11762582,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,,0,,,0,,36,Crouse Hinds,,
CABLES DE FUERZA,mts,material,"Cable monopolar calibre 8 AWG THHW-LS 90 �C, 600V color blanco",SLLR30,BRICOS (MAYOREO ELECTRICO),MXN,05/02/2026,SURTIDOR ELECTRICO,0,06/02/2025,,0,,42,Viakon,MXN,
,,,,,,,,,0,,,0,,0,,,
CABLES DE CONTROL,mts,material,Cable 2X16 Sin Blindaje PLENUM Para Sistemas de Detección de Incendio [CARRETE COMPLETO DE 305 MTS],tg4311-1004/1000,SYSCOM,USD,12/01/2026,,0,,,0,,250,GENESIS,,
ACCESORIOS Y CONSUMIBLES,Pza,equipos y componentes,Vertical Rotation Type Bracket Para Cortina de Seguridad SFL20-20 - SFL20-16,BK-SFL-TBA,MAIN INDUSTRIAL,USD,25/03/2025,,0,,,0,,60,AUTONICS,,
,,,,,,,,,0,,,0,,0,,,
CABLE PARA SISTEMA DE TIERRAS,mts,material,"Cable Desnudo Calibre 250 AWG, 19H de Cobre Semiduro, Clase A. VK",A087,ELECTRICA RIMAR,MXN,13/03/2025,,0,,,0,,355,Viakon,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Relevador de sobrecarga trifasico, 440VCA,0.5HP,1-1.30A",1SAZ7212201R1025,,,,,0,,,0,,0,ABB,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Juegos De Terminales Para ITM XT5N 630 EKIP DIP LSIG,1SDA104748R1,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/03/2025,,0,,,0,,1.26,ABB,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador VFD Powerflex 753 De 40 HP, 480 VAC, Trifasico @52A",20F14ND052JA0NNNNN,RISOUL,,,,0,,,0,,0,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Mini-Contactor Trifasico 16A,127 VAC",B37-10-84,,,,,0,,,0,,0,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal boton pulsador momentaneo no iluminado, color rojo, 22mm",1SFA611100R1001,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,03/11/2025,ACOMEE,0,03/11/2025,,0,,150,ABB,MXN,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C serie 3 con tapa de 1-1/4"", C43",12143071,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,0,,,0,,154,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Torre de se�alizaci�n, soporte para montaje en tubo",KB70-1033,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/11/2023,,0,,,0,,325,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo SIMATIC ET200SP de 16 Salidas Digitales de 24 V DC,6ES7132-6BH01-0BA0,AUTYCOM,MXN,24/06/2024,,0,,,0,,2.89,SIEMENS,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LB serie 7 con tapa de 1""",LB37CG/ 640612,BRICOS (MAYOREO ELECTRICO),MXN,08/05/2025,IMPULSORA,0,07/08/2025,,0,,532,Crouse Hinds,MXN,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Salidas Digitales A 24V DE 16 Canales,5069-OB16,RISOUL,USD,09/03/2026,,0,,,0,,365,Allen Bradley,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Interruptor Diferencial 16a 1p+n 30ma,5SU1356-1KK16,wesco,MXN,07/08/2025,,0,,,0,,3.32,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Sensor De Presion Salida Analoga 0 A 3000 psi, 1/4""NPT, 24 VDC",PT2432,Ifm Efector,MXN,16/12/2024,,0,,,0,,3.15,Ifm Efector,,
ACCESORIOS Y CONSUMIBLES,Pza,equipos y componentes,Cable De Alimentacion y E/S Para Cortina De Seguridad Tipo EMISOR De 7m,SFL-C7T(PVC),MAIN INDUSTRIAL,USD,25/03/2025,,0,,,0,,87,AUTONICS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Bot�n Paro De Emergencia Tipo Hongo 40mm Desbloqueo X Rot,800FM-MT44,RISOUL,USD,27/03/2026,,0,,,0,,27,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Fuente de alimentaci�n 120VAC 24VDC/10A 240W,1469490000,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,ASESOR EL�CTRICO,0,06/02/2025,,0,,3.3,WEIDM�LLER,USD,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete Metalico de 2000X1200X600mm, Dos Puertas",P2KOD20126,RISOUL,USD,27/08/2025,,0,,,0,,1.91,Hoffman,,
CABLES DE COMUNICACI�N,mts,material,Fibra Optica Multimodo OM4 de 6 Fibras,OPCFOCI57R06,Fibremex,USD,20/02/2025,,0,,,0,,4,Optronics,,
SISTEMA NEUMATICO,Pza,instrumento,Valvula De Estrangulaci�n Y Antirretorno,GRLA-1/2-QS-12-D MCA,RISOUL,MXN,26/11/2024,,0,,,0,,1.228,FESTO,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagn�tico Tipo QO Enchufable 2X15A 120/240VCA, 10KA",QO215,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,ACOMEE,0,25/09/2024,IMPULSORA,0,25/09/2024,764,SquareD,MXN,MXN
CABLES DE FUERZA,mts,material,"Cable monopolar calibre 10 awg H07V2-K, tri-rated UL clase 5, 750V color amarillo/verde",H07-1200050060,GRUPO IMEX,MXN,06/03/2026,,0,,,0,,43,TOPCABLE,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cubierta Para Zona De Ensamblaje Superior Para Series VX, VX IT, TS, TS IT, D: 500 MM",8800855,BRICOS (MAYOREO ELECTRICO),MXN,13/10/2025,,0,,,0,,473,Rittal,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Clema de paso ZDU2.5/3AN con terminal de resorte,1608540000,BRICOS (MAYOREO ELECTRICO),MXN,26/03/2026,,0,,,0,,22,WEIDMULLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Cable de desconexion rapida hembra tipo europeo m12-5pines.longitud: 5 m. c/acoplamiento laton,MQDC1-515,ASESOR EL�CTRICO,USD,05/07/2024,,0,,,0,,34,BANNER,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 250 kcmil THW-LS/THHW-LS 600V, Color Negro. GC",C15CI00250PA,,,,,0,,,0,,0,General Cable,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C Serie 7 De Aluminio Con Recubrimiento de PVC de 3/4"", C-27 DBR.",3306002,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,0,,,0,,839,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Zoclos Para Gabinete 1000X500mm,P2BP2105,RISOUL,USD,14/10/2024,,0,,,0,,257,Hoffman,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Fuente De Alimentaci�n Estabilizada SITOP entrada: 120/240 VAC salida: 24 VDC/3A,6EP3332-3SB00-0AX0,AUTYCOM,MXN,21/10/2025,,0,,,0,,1.25,SIEMENS,,
ACCESORIOS PARA CABLES,Pza,material,"Terminal Ponchable Para Cable Cal 4 Awg, Ca�on Largo De Ojillo de 1/2, YA4CN",50235M,BRICOS (MAYOREO ELECTRICO),MXN,01/07/2025,Indelek,0,25/02/2025,,0,,203,Burndy,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guarda motor (manual motor starter) 2.5...4.0A, 45 mm de ancho",MS132-4.0,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,02/05/2024,,0,,,0,,1.225,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactos Auxiliares Para Contactor AF09-AF16 Montaje Frontal, 2NO+2NC, CA4-22M",1SBN010140R1122,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/03/2025,ACOMEE,0,06/02/2025,,0,,350,ABB,MXN,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini Interruptor Termomagnetico IC60N Curva C 1PX16A,A9F74116,IMPULSORA,MXN,06/08/2024,BRICOS (MAYOREO ELECTRICO),0,,,0,,255,Schneider,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet T Serie 3 Con Tapa de 1"", T-33",12143124,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,ACOMEE,0,05/10/2024,ALCIONE,0,05/10/2024,88,Crouse Hinds,MXN,MXN
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Accesorio para montaje en pared para gabinetes tipo Gemini,1SL0342A00,,,,,0,,,0,,0,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Modulo De Proteccion Mov. Para SMC FLEX, 317A, 125-250HP, Para Arrancador 150-F317NBDB",150-F84L,RISOUL,USD,17/02/2025,,0,,,0,,261,Allen Bradley,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 10 AWG THHW-LS 90 �C, 600V Color Rojo",SLB434,BRICOS (MAYOREO ELECTRICO),MXN,05/02/2026,IMPULSORA,0,24/02/2026,,0,,26,Viakon,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Tower light, black housing: 3-color indicator, voltage: 12-30 v dc, environmental rating",TL70GYRQ,ASESOR EL�CTRICO,USD,05/07/2024,,0,,,0,,305,BANNER,,
TUBERIA CONDUIT,Tramo,material,"Tubo conduit pared delgada de acero galvanizado sin rosca de 3""",RY-TCPD-Gal-SR-3,SURTIDOR ELECTRICO,MXN,05/09/2024,,0,,,0,,1.04,Rymco,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo Terminador Derecho (End Cap),1769-ECR,RISOUL,USD,06/03/2026,,0,,,0,,45,Allen Bradley,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Platina metalica p/montaje 1200x800 mm para gabinete WERTEK,NSYMM128,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,,0,,,0,,2.354,Schneider,,
CONDULETS Y ACCESORIOS,Pza,material,"Codo conduit de 1"" x 90� pared gruesa, KO",5000036,BRICOS (MAYOREO ELECTRICO),MXN,18/09/2024,,0,,,0,,82,KOBREX,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Lampara de Emergencia Para Interiores, Luz Blanco Frio, 2W, 220 Lumenes, Blanco",LEDR1W5,abasteo,MXN,31/01/2025,,0,,,0,,690,PHILIPS,,
CHAROLAS Y ACCESORIOS,Pza,material,"Reduccion De Charola Recta de 36"" a 9""",RLZ-36091A,Soportes Electricos,MXN,24/01/2025,,0,,,0,,345,Soportes El�ctricos,,
CABLES DE FUERZA,mts,material,"Cable multiconductor 2X14, 600V uso rudo, VD67",TG-ID-CMC2X14-600V-UR,SURTIDOR ELECTRICO,MXN,05/11/2024,BRICOS (MAYOREO ELECTRICO),0,16/01/2026,,0,,25,Indiana,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal boton pulsador momentaneo no iluminado, color negro, 22mm",1SFA611100R1006,,,,,0,,,0,,0,ABB,,
TUBERIA CONDUIT,Tramo,material,"Tubo conduit pared gruesa de acero galvanizado con cople de 1/2""",TPG13RY,SURTIDOR ELECTRICO,MXN,19/06/2024,SURTIDOR ELECTRICO,0,29/08/2025,,0,,161,Rymco,MXN,
,,,,,,,,,0,,,0,,0,,,
HARDWARE Y SOFTWARE,Licencia,equipos y componentes,License Maintenance & Support Contract for 1000 Tags,DR-MAINT.DR1000,Ocean Data Systems,USD,01/10/2024,,0,,,0,,1.675,Dream Report,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Numeraci�n 1 - 50 vertical para clemas,473560001,BRICOS (MAYOREO ELECTRICO),MXN,29/08/2025,RISOUL,0,29/08/2025,,0,,34,WEIDM�LLER,MXN,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet T Serie 7 Con Tapa De 3/4""",T27CG/ 640641,BRICOS (MAYOREO ELECTRICO),MXN,24/04/2025,IMPULSORA,0,07/08/2025,,0,,341,Crouse Hinds,MXN,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete met�lico,2000X800X400mm,IP54, con puerta, platina y tapa pasacables, tipo IS2",IS2-2000-80-40K,,,,,0,,,0,,0,ABB,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guardamotor Trifasico, 440VCA, 5HP, 6.3-10A, MS132-10",1SAM350000R1010,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,29/01/2026,ACOMEE,0,06/02/2025,,0,,1.35,ABB,MXN,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagn�tico Tipo QO Enchufable 1X20A 120/240VCA, 10KA",QO120,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,,0,,,0,,198,SquareD,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Barra De Union Conexion De 5 Guardamotores MS132 @65A, PS1-5-0-65",1SAM201906R1105,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,13/12/2024,,0,,,0,,305,ABB,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Contactor Trif�sico Bobina 120 VAC,LC1D09F7,BRICOS (MAYOREO ELECTRICO),MXN,27/11/2024,,0,,,0,,632,Schneider,,
ACCESORIOS PARA CABLES,Pza,material,"Terminal Ponchable Para Cable Cal 6 Awg, Ca�on Largo De Ojillo de 1/2, YA6CN",50251X,BRICOS (MAYOREO ELECTRICO),MXN,25/06/2025,ACOMEE,0,25/02/2025,,0,,203,Burndy,MXN,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Myers De Aluminio Con Recubrimiento de PVC de 2-1/2"", STA-7 DBR.",3340765,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,0,,,0,,9.35,Crouse Hinds,,
GABINETES Y COMPONENTES,Caja,equipos y componentes,Etiqueta Rectangular De 50.80 X 25.40mm Para Botoneria (caja con 100 pza),M7-173-593-BK,RISOUL,USD,15/08/2025,,0,,,0,,139,Brady,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C Serie 7 De Aluminio Con Recubrimiento de PVC de 1-1/2"", C-57 DBR.",3000057,BRICOS (MAYOREO ELECTRICO),MXN,29/07/2025,,0,,,0,,0,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guarda motor trifasico, 440VCA,10HP ,16.0-20.0A",1SAM350000R1013,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,29/01/2026,,0,,,0,,1.9,ABB,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LB Serie 9 Con Tapa de 3/4"", LB29",603018,BRICOS (MAYOREO ELECTRICO),MXN,21/02/2025,,0,,,0,,222,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Adaptador Magn�tico De 3/8 Hexagonal Para Taladro,B38819,SYSCOM,MXN,23/01/2026,,0,,,0,,60,MAKITA,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Platina para gabinete de 2000 x 1000 mm. (Marca HOF),P2P2010,,,,,0,,,0,,0,Hoffman,,
HERRAJES DE FIJACI�N,Pza,material,"Unicanal Solido de 4X2, cal. 16 Galvanizado",41210,BRICOS (MAYOREO ELECTRICO),MXN,01/04/2026,,0,,,0,,156,ANCLO,,
TUBERIA CONDUIT,Tramo,material,"Tubo Conduit De Aluminio Con Recubrimiento De PVC Con Cople De 2""",RW-TC-ALUM/PVC-CC-2,MAESA (MAYORISTAS ELECTRICOS DE MONTERREY),MXN,28/08/2023,,0,,,0,,3.242,Rawelt,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,Molde Exotermico Conexion A Placa Horizontal Tipo HS Cal 4/0,HSC2Q,ELECTRICA RIMAR,USD,13/03/2025,,0,,,0,,160,Burndy,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini interruptor termomagn�tico de 2 Polo y 4A,2CDS252001R0044,,,,,0,,,0,,0,ABB,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini-Interruptor Termomagnetico 1P/1A,GB2CB06,BRICOS (MAYOREO ELECTRICO),MXN,27/11/2024,,0,,,0,,693,Schneider,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Reduccion Bushing con Recubrimiento De Uretano Rojo de 1"" a 3/4"", RE-32 RUR",3340780,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,0,,,0,,189,Crouse Hinds,,
